Rank,Name,Industry,Revenue,Employees,Country
1,Walmart,Retail,"$548,743",2200000,United States
2,Sinopec Group,Oil and gas,"$407,009",582648,China
3,Amazon,Retail,"$386,064",1125300,United States
4,State Grid,Electricity,"$383,906",907677,China
5,China National Petroleum,Oil and gas,"$379,130",1344410,China
6,Royal Dutch Shell,Oil and gas,"$344,379",83000,Netherlands
7,Saudi Aramco,Oil and gas,"$329,784",79000,Saudi Arabia
8,Volkswagen,Automotive,"$282,760",671205,Germany
9,BP,Oil and gas,"$282,610",72500,United Kingdom
10,Toyota,Automotive,"$275,288",359542,Japan
11,Apple,Electronics,"$274,515",137000,United States
12,ExxonMobil,Oil and gas,"$264,938",74900,United States
13,CVS Health,Healthcare,"$256,776",290000,United States
14,Berkshire Hathaway,Financials,"$254,616",391500,United States
15,UnitedHealth,Healthcare,"$242,155",325000,United States
16,McKesson,Healthcare,"$231,051",70000,United States
17,Glencore,Commodities,"$215,111",88246,Switzerland
18,China State Construction,Construction,"$205,839",335038,China
19,Samsung Electronics,Electronics,"$197,705",287439,South Korea
20,Daimler,Automotive,"$193,346",298655,Germany
21,Ping An Insurance,Financials,"$184,280",372194,China
22,Alphabet,Information technology,"$182,530",118899,United States
23,AT&T,Telecommunications,"$181,193",247800,United States
24,AmerisourceBergen,Healthcare,"$179,589",21500,United States
25,ICBC,Financials,"$177,069",445106,China
26,Total,Oil and gas,"$176,249",107776,France
27,Foxconn,Electronics,"$172,869",754404,Taiwan
28,Trafigura,Commodities,"$171,474",5106,Singapore
29,Exor,Holding company,"$162,754",268979,Netherlands
30,China Construction Bank,Financials,"$158,884",370169,China
31,Ford,Automotive,"$155,900",190000,United States
32,Cigna,Healthcare,"$153,566",73700,United States
33,Costco,Retail,"$152,703",201500,United States
34,AXA,Financials,"$148,984",99843,France
35,Agricultural Bank of China,Financials,"$147,313",467631,China
36,Chevron,Oil and gas,"$146,516",48200,United States
37,Cardinal Health,Healthcare,"$145,534",49500,United States
38,Microsoft,Information technology,"$143,000",144000,United States
39,JPMorgan Chase,Financials,"$142,422",256981,United States
40,Honda,Automotive,"$137,332",218674,Japan
41,General Motors,Automotive,"$137,237",164000,United States
42,Walgreens Boots Alliance,Retail,"$136,866",287000,United States
43,Mitsubishi,Conglomerate,"$135,940",86098,Japan
44,Bank of China,Financials,"$135,091",309384,China
45,Verizon,Telecommunications,"$131,244",135000,United States
46,China Life Insurance,Insurance,"$131,244",180401,China
47,Allianz,Financials,"$130,359",147268,Germany
48,Marathon Petroleum,Oil and gas,"$124,813",60910,United States
49,Huawei,Electronics,"$124,316",194000,China
50,China Railway Engineering Corporation,Construction,"$123,324",302394,China
